S/N,REGION,COUNCIL,SCHOOL NAME,Reg#,"July, 2022","Augut, 2022","September, 2022","October, 2022","November, 2022","December, 2022","January, 2023","February, 2023","March, 2023","April, 2023","May, 2023","June, 2023", TOTAL 
87,Arusha,Karatu DC,MARANG,S.2814,"231,584.16","229,864.97","230,050.51","228,852.29","228,787.00","228,098.00","228,017.00","227,977.00","227,563.00","227,336.00","227,336.00","226,694.00","2,742,159.93"
88,Arusha,Karatu DC,MLIMANI SUMAWE,S.3839,"565,969.10","561,767.56","460,101.02","457,704.58","457,574.00","456,197.00","456,035.00","455,954.00","455,127.00","454,673.00","454,673.00","453,389.00","5,689,164.26"
89,Arusha,Karatu DC,OLDEANI,S.2813,"598,729.79","594,285.05","587,431.30","584,371.66","584,205.00","582,446.00","582,240.00","582,136.00","581,080.00","580,501.00","580,501.00","578,862.00","7,016,788.80"
90,Arusha,Karatu DC,ORBOSHAN,S.2815,"196,564.12","195,104.90","215,070.48","213,950.28","213,889.00","213,245.00","213,170.00","213,132.00","212,745.00","212,533.00","212,533.00","211,933.00","2,523,869.78"
91,Arusha,Karatu DC,QANGDEND,S.3757,"341,163.01","338,630.35","389,480.86","387,452.25","387,341.00","386,176.00","386,039.00","385,970.00","385,270.00","384,886.00","384,886.00","383,799.00","4,541,093.47"
92,Arusha,Karatu DC,QARU,S.3657,"389,739.20","386,845.93","390,550.86","388,516.68","388,406.00","387,237.00","387,099.00","387,031.00","386,328.00","385,943.00","385,943.00","384,853.00","4,648,492.67"
93,Arusha,Karatu DC,QURUS,S.5130,"159,284.72","158,102.25","196,880.44","195,854.98","195,799.00","195,210.00","195,140.00","195,106.00","194,752.00","194,558.00","194,558.00","194,008.00","2,269,253.38"
94,Arusha,Karatu DC,SLAHHAMO,S.1165,"402,165.67","399,180.15","377,710.84","375,743.53","375,636.00","374,506.00","374,373.00","374,306.00","373,627.00","373,255.00","373,255.00","372,201.00","4,545,959.18"
95,Arusha,Karatu DC,UPPER KITETE,S.3758,"352,459.80","349,843.27","342,400.76","340,617.36","340,520.00","339,495.00","339,375.00","339,314.00","338,699.00","338,361.00","338,361.00","337,406.00","4,096,852.19"
96,Arusha,Karatu DC,WELWEL,S.1164,"502,707.09","498,975.18","549,981.22","547,116.64","546,960.00","545,314.00","545,120.00","545,024.00","544,035.00","543,492.00","543,492.00","541,958.00","6,454,175.12"
97,Arusha,Longido DC,ENDUIMET,S.2003,"937,633.44","930,672.81","1,045,392.32","1,039,947.38","1,039,650.00","1,036,521.00","1,036,153.00","1,035,970.00","1,034,090.00","1,033,059.00","1,033,059.00","1,030,142.00","12,232,289.95"
98,Arusha,Longido DC,ENGARENAIBOR,S.2497,"1,033,656.14","1,025,982.68","1,028,272.28","1,022,916.51","1,022,624.00","1,019,547.00","1,019,184.00","1,019,004.00","1,017,155.00","1,016,141.00","1,016,141.00","1,013,271.00","12,253,894.61"
99,Arusha,Longido DC,KETUMBEINE,S.1842,"1,129,678.85","1,121,292.54","1,291,492.86","1,284,766.11","1,284,399.00","1,280,534.00","1,280,079.00","1,279,852.00","1,277,530.00","1,276,256.00","1,276,256.00","1,272,652.00","15,054,788.36"
100,Arusha,Longido DC,LEKULE,S.4476,"695,882.17","690,716.21","640,931.42","637,593.12","637,411.00","635,493.00","635,267.00","635,154.00","634,002.00","633,370.00","633,370.00","631,581.00","7,740,770.92"
101,Arusha,Longido DC,LONGIDO,S.708,"2,391,530.12","2,373,776.32","2,726,366.04","2,791,997.93","2,791,200.00","2,782,800.00","2,781,811.00","2,781,319.00","2,776,272.00","2,773,504.00","2,773,504.00","2,765,672.00","32,509,752.40"
102,Arusha,Longido DC,MATALE,S.5115,"361,497.23","358,813.61","560,681.24","557,760.93","557,601.00","555,923.00","555,726.00","555,627.00","554,619.00","554,066.00","554,066.00","552,502.00","6,278,883.01"
103,Arusha,Longido DC,NAMANGA,S.2498,"1,127,419.49","1,119,049.96","1,235,852.74","1,229,415.79","1,229,064.00","1,225,366.00","1,224,930.00","1,224,713.00","1,222,491.00","1,221,272.00","1,221,272.00","1,217,823.00","14,498,668.97"
104,Arusha,Longido DC,NATRON,S.4868,"497,058.69","493,368.72","521,091.15","518,377.05","518,229.00","516,669.00","516,486.00","516,394.00","515,457.00","514,943.00","514,943.00","513,489.00","6,156,505.61"
105,Arusha,Longido DC,TINGATINGA,S.4475,"1,284,444.85","1,274,909.62","1,282,932.84","1,276,250.67","1,275,886.00","1,272,046.00","1,271,594.00","1,271,369.00","1,269,062.00","1,267,797.00","1,267,797.00","1,264,217.00","15,278,305.99"
106,Arusha,Meru DC,AKERI,S.798,"698,141.53","692,958.79","601,341.33","598,209.24","598,038.00","596,238.00","596,027.00","595,921.00","594,840.00","594,247.00","594,247.00","592,569.00","7,352,777.89"
107,Arusha,Meru DC,AMSHA,S.5721,,"95,309.87","90,950.20","86,218.77","86,194.00","85,935.00","85,904.00","85,889.00","85,733.00","85,648.00","85,648.00","85,406.00","958,835.84"
108,Arusha,Meru DC,IMBASENI,S.5786,,"56,064.63","53,500.12","53,221.46","53,206.00","53,046.00","53,027.00","53,018.00","52,922.00","52,869.00","52,869.00","52,720.00","586,463.21"
109,Arusha,Meru DC,KIKWE,S.1790,"761,403.54","755,751.18","760,771.68","756,809.20","756,593.00","754,316.00","754,048.00","753,914.00","752,547.00","751,796.00","751,796.00","749,673.00","9,059,418.60"
110,Arusha,Meru DC,KINGORI,S.648,"788,515.83","782,662.20","746,861.65","728,069.61","727,861.00","725,671.00","725,413.00","725,285.00","723,969.00","723,247.00","723,247.00","721,205.00","8,842,007.29"
111,Arusha,Meru DC,KISIMIRI,S.1041,"1,233,609.30","1,224,451.46","1,252,972.77","1,278,379.53","1,278,014.00","1,274,168.00","1,273,715.00","1,273,490.00","1,271,179.00","1,269,911.00","1,269,911.00","1,266,326.00","15,166,127.06"
112,Arusha,Meru DC,KITEFU,S.4093,"455,260.57","451,880.90","484,711.07","488,573.03","488,433.00","486,963.00","486,790.00","486,704.00","485,821.00","485,337.00","485,337.00","483,966.00","5,769,776.57"
113,Arusha,Meru DC,KIWAWA,S.5453,"97,152.38","96,431.16","173,340.38","183,081.83","183,029.00","182,479.00","182,414.00","182,382.00","182,051.00","181,869.00","181,869.00","181,356.00","2,007,454.75"
114,Arusha,Meru DC,LAKITATU,S.4114,"450,741.86","447,395.73","426,930.95","433,222.71","433,099.00","431,795.00","431,642.00","431,566.00","430,783.00","430,353.00","430,353.00","429,138.00","5,207,020.24"
